"Time","Usage in MHz for 0","Usage in MHz for sp25-cs525-0701.cs.illinois.edu","Usage in MHz for 1"
"2025-05-02T02:02:00.000Z",24,46,13
"2025-05-02T02:02:20.000Z",26,45,13
"2025-05-02T02:02:40.000Z",25,47,15
"2025-05-02T02:03:00.000Z",22,46,16
"2025-05-02T02:03:20.000Z",24,46,16
"2025-05-02T02:03:40.000Z",21,42,13
"2025-05-02T02:04:00.000Z",19,43,15
"2025-05-02T02:04:20.000Z",14,42,21
"2025-05-02T02:04:40.000Z",14,43,22
"2025-05-02T02:05:00.000Z",14,40,22
"2025-05-02T02:05:20.000Z",13,40,22
"2025-05-02T02:05:40.000Z",25,50,20
"2025-05-02T02:06:00.000Z",18,43,19
"2025-05-02T02:06:20.000Z",15,44,23
"2025-05-02T02:06:40.000Z",16,47,25
"2025-05-02T02:07:00.000Z",14,44,23
"2025-05-02T02:07:20.000Z",21,40,13
"2025-05-02T02:07:40.000Z",22,41,15
"2025-05-02T02:08:00.000Z",21,41,14
"2025-05-02T02:08:20.000Z",18,43,19
"2025-05-02T02:08:40.000Z",14,42,21
"2025-05-02T02:09:00.000Z",19,42,16
"2025-05-02T02:09:20.000Z",14,42,20
"2025-05-02T02:09:40.000Z",13,43,22
"2025-05-02T02:10:00.000Z",13,39,20
"2025-05-02T02:10:20.000Z",13,39,20
"2025-05-02T02:10:40.000Z",18,52,26
"2025-05-02T02:11:00.000Z",11,44,24
"2025-05-02T02:11:20.000Z",12,39,21
"2025-05-02T02:11:40.000Z",16,42,18
"2025-05-02T02:12:00.000Z",22,46,16
"2025-05-02T02:12:20.000Z",25,43,12
"2025-05-02T02:12:40.000Z",25,43,11
"2025-05-02T02:13:00.000Z",25,43,11
"2025-05-02T02:13:20.000Z",24,41,12
"2025-05-02T02:13:40.000Z",20,41,16
"2025-05-02T02:14:00.000Z",21,37,13
"2025-05-02T02:14:20.000Z",22,38,10
"2025-05-02T02:14:40.000Z",570,1076,496
"2025-05-02T02:15:00.000Z",380,1000,612
"2025-05-02T02:15:20.000Z",24,43,12
"2025-05-02T02:15:40.000Z",25,47,15
"2025-05-02T02:16:00.000Z",25,43,13
"2025-05-02T02:16:20.000Z",22,39,11
"2025-05-02T02:16:40.000Z",24,42,11
"2025-05-02T02:17:00.000Z",27,161,129
"2025-05-02T02:17:20.000Z",22,43,13
"2025-05-02T02:17:40.000Z",17,40,16
"2025-05-02T02:18:00.000Z",22,41,11
"2025-05-02T02:18:20.000Z",22,43,13
