Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Peers In Sync,Blockchains Match,CPU Max,CPU Avg
1,50,5,21.54,2025-05-01 17:54:42,2025-05-01 17:55:03,True,True,270,270.0
1,50,10,47.16,2025-05-01 17:55:03,2025-05-01 17:55:51,True,True,305,276.0
1,50,50,247.34,2025-05-01 17:55:51,2025-05-01 17:59:58,True,True,484,400.1666666666667
1,100,5,21.94,2025-05-01 17:59:58,2025-05-01 18:00:20,True,True,2634,1579.5
1,100,10,47.33,2025-05-01 18:00:20,2025-05-01 18:01:07,True,True,2634,1363.6666666666667
1,100,50,247.58,2025-05-01 18:01:08,2025-05-01 18:05:15,True,True,1163,985.5
