Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Total Energy (kWh),CPU Energy (kWh),RAM Energy (kWh),Total Emissions (CO2 Kg),Avg CPU Power (W),Peers In Sync,Blockchains Match
1,30,5,25.33,2025-05-09 20:57:46,2025-05-09 20:58:11,0.00017807482476508868,9.940140846231073e-05,7.867341630277799e-05,6.57938397304316e-05,10.0,True,True
2,30,5,25.31,2025-05-09 20:58:14,2025-05-09 20:58:39,0.00015726341778888865,7.863412148888863e-05,7.862929630000003e-05,5.810458676071406e-05,10.0,True,True
3,30,5,25.33,2025-05-09 20:58:42,2025-05-09 20:59:08,0.00015740239843888885,7.870358373055555e-05,7.869881470833333e-05,5.815593635841158e-05,10.0,True,True
Average,30,5,25.323333333333334,N/A,N/A,0.0001642468803309554,8.557970456058497e-05,7.866717577037045e-05,6.068478761651908e-05,10.0,N/A,N/A
1,30,10,50.38,2025-05-09 20:59:10,2025-05-09 21:00:01,0.000282596519302777,0.00014130217721944406,0.00014129434208333294,0.00010441178377635493,10.0,True,True
2,30,10,50.35,2025-05-09 21:00:04,2025-05-09 21:00:54,0.0002824827313055553,0.00014124538061666638,0.00014123735068888898,0.00010436974218365743,10.0,True,True
3,30,10,50.32,2025-05-09 21:00:57,2025-05-09 21:01:47,0.00029006913378902896,0.0001489236212306952,0.00014114551255833369,0.0001071727130684339,10.0,True,True
Average,30,10,50.35,N/A,N/A,0.0002850494614657871,0.0001438237263556019,0.00014122573511018518,0.00010531807967614875,10.0,N/A,N/A
