Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Total Energy (kWh),CPU Energy (kWh),RAM Energy (kWh),Total Emissions (CO2 Kg),Avg CPU Power (W),Peers In Sync,Blockchains Match
1,30,50,250.61,2025-05-09 20:57:50,2025-05-09 21:02:00,0.001283088065844334,0.0006551627094221105,0.0006279253564222226,0.00047406639695170364,10.0,True,True
2,30,50,250.6,2025-05-09 21:02:03,2025-05-09 21:06:14,0.0012617738967844099,0.0006338677267649639,0.0006279061700194454,0.00046619138696662625,10.45,True,True
3,30,50,250.59,2025-05-09 21:06:17,2025-05-09 21:10:27,0.0015816478020726215,0.000953765947708733,0.000627881854363888,0.0005843761583751776,55.70000000000001,True,True
Average,30,50,250.60000000000002,N/A,N/A,0.001375503254900455,0.0007475987946319358,0.0006279044602685186,0.0005082113140978359,25.383333333333336,N/A,N/A
