timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-05-09T21:11:31,codecarbon,b1033219-a5f5-4cd4-a249-1494fc3aba56,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,251.6233384740001,0.0006996907443531,2.7807068636656945e-06,15.2,0.0,10.0,0.0012660780981767,0,0.0006276752866527,0.0018937533848295,United States,USA,,,,Linux-5.14.0-503.40.1.el9_5.x86_64-x86_64-with-glibc2.34,3.9.21,3.0.1,2,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,,,,,3.572349548339844,machine,N,1.0
2025-05-09T21:15:44,codecarbon,beaf5737-728a-4e66-96f6-b03b17f1812e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,251.565183552,0.000531822039015,2.1140526344143305e-06,16.0,0.0,10.0,0.0008118052579246,0,0.0006276017867444,0.0014394070446691,United States,USA,,,,Linux-5.14.0-503.40.1.el9_5.x86_64-x86_64-with-glibc2.34,3.9.21,3.0.1,2,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,,,,,3.572349548339844,machine,N,1.0
2025-05-09T21:19:58,codecarbon,03cff0b9-7a63-46fe-8ef5-6ee7a36cc9af,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,251.5911914469998,0.0005266959053737747,2.093459243722086e-06,17.750000000000004,0.0,10.0,0.0007979514772730785,0,0.0006275813908222214,0.0014255328680952998,United States,USA,,,,Linux-5.14.0-503.40.1.el9_5.x86_64-x86_64-with-glibc2.34,3.9.21,3.0.1,2,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,,,,,3.5723495483398438,machine,N,1.0
