timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-05-09T20:24:48,codecarbon,ba5d0b5a-1648-4255-b72e-fcbec8baf6e9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,47.85650450199955,8.90709955380499e-05,1.8612098076308167e-06,10.0,0.0,10.0,0.0001220588773549,0,0.0001190169131305,0.0002410757904855,United States,USA,,,,Linux-5.14.0-503.40.1.el9_5.x86_64-x86_64-with-glibc2.34,3.9.21,3.0.1,2,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,,,,,3.572349548339844,machine,N,1.0
2025-05-09T21:00:01,codecarbon,0ddd6513-b097-4acd-b40f-17a0401e3119,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,51.37913678199993,0.0001044117837763,2.032182522243821e-06,10.0,0.0,10.0,0.0001413021772194,0,0.0001412943420833,0.0002825965193027,United States,USA,,,,Linux-5.14.0-503.40.1.el9_5.x86_64-x86_64-with-glibc2.34,3.9.21,3.0.1,2,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,,,,,3.5723533630371094,machine,N,1.0
2025-05-09T21:00:54,codecarbon,77689a15-7c66-4758-8384-92ca8e84ad47,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,51.35757664099992,0.0001043697421836,2.032217036119588e-06,10.0,0.0,10.0,0.0001412453806166,0,0.0001412373506888,0.0002824827313055,United States,USA,,,,Linux-5.14.0-503.40.1.el9_5.x86_64-x86_64-with-glibc2.34,3.9.21,3.0.1,2,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,,,,,3.5723533630371094,machine,N,1.0
2025-05-09T21:01:48,codecarbon,a2449cb4-a6e5-428a-abd5-21b4167bfc5a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,51.324974617000066,0.0001071727130684339,2.088120137772766e-06,10.0,0.0,10.0,0.0001489236212306952,0,0.00014114551255833369,0.00029006913378902896,United States,USA,,,,Linux-5.14.0-503.40.1.el9_5.x86_64-x86_64-with-glibc2.34,3.9.21,3.0.1,2,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,,,,,3.5723533630371094,machine,N,1.0
