Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Peers In Sync,Blockchains Match
1,10,5,25.78,2025-04-30 20:10:43,2025-04-30 20:11:08,True,False
2,10,5,25.3,2025-04-30 20:11:09,2025-04-30 20:11:34,True,False
3,10,5,25.88,2025-04-30 20:11:34,2025-04-30 20:12:00,True,False
