Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Total Energy (kWh),CPU Energy (kWh),RAM Energy (kWh),Total Emissions (CO2 Kg),Avg CPU Power (W),Peers In Sync,Blockchains Match
1,30,5,109.76,2025-05-09 20:58:58,2025-05-09 21:00:48,0.0011985947627041818,0.0010142563935291817,0.000184338369175,0.0004428484027606022,0.0,False,False
2,30,5,109.85,2025-05-09 21:00:51,2025-05-09 21:02:40,0.001291954110495343,0.0010813339470481206,0.0002106201634472222,0.0004773421610670459,30.525000000000002,False,False
3,30,5,114.91,2025-05-09 21:02:43,2025-05-09 21:04:38,0.0012814260613308584,0.0010958601573169717,0.0001855659040138868,0.00047345233115809624,16.85,False,False
Average,30,5,111.50666666666666,N/A,N/A,0.0012573249781767943,0.0010638168326314245,0.00019350814554536968,0.00046454763166191483,15.791666666666666,N/A,N/A
