"Time","Usage for sp25-cs525-0702.cs.illinois.edu","Energy usage for sp25-cs525-0702.cs.illinois.edu","Static Power for sp25-cs525-0702.cs.illinois.edu"
"2025-05-01T21:16:40.000Z",0,3,58
"2025-05-01T21:17:00.000Z",0,2,58
"2025-05-01T21:17:20.000Z",0,2,58
"2025-05-01T21:17:40.000Z",0,2,58
"2025-05-01T21:18:00.000Z",0,2,58
"2025-05-01T21:18:20.000Z",0,3,58
"2025-05-01T21:18:40.000Z",0,2,58
"2025-05-01T21:19:00.000Z",0,2,58
"2025-05-01T21:19:20.000Z",0,2,58
"2025-05-01T21:19:40.000Z",0,2,58
"2025-05-01T21:20:00.000Z",0,2,58
"2025-05-01T21:20:20.000Z",0,3,58
"2025-05-01T21:20:40.000Z",0,2,58
"2025-05-01T21:21:00.000Z",0,2,58
"2025-05-01T21:21:20.000Z",0,2,58
"2025-05-01T21:21:40.000Z",0,2,58
"2025-05-01T21:22:00.000Z",0,3,58
"2025-05-01T21:22:20.000Z",0,2,58
"2025-05-01T21:22:40.000Z",0,2,58
"2025-05-01T21:23:00.000Z",0,2,58
"2025-05-01T21:23:20.000Z",0,2,58
"2025-05-01T21:23:40.000Z",0,3,58
"2025-05-01T21:24:00.000Z",0,2,58
"2025-05-01T21:24:20.000Z",0,2,58
"2025-05-01T21:24:40.000Z",0,2,58
"2025-05-01T21:25:00.000Z",0,2,58
"2025-05-01T21:25:20.000Z",0,3,58
"2025-05-01T21:25:40.000Z",0,2,58
"2025-05-01T21:26:00.000Z",0,2,58
"2025-05-01T21:26:20.000Z",0,2,58
"2025-05-01T21:26:40.000Z",0,2,58
"2025-05-01T21:27:00.000Z",0,2,58
"2025-05-01T21:27:20.000Z",0,3,58
"2025-05-01T21:27:40.000Z",0,2,58
"2025-05-01T21:28:00.000Z",0,2,58
"2025-05-01T21:28:20.000Z",0,2,58
"2025-05-01T21:28:40.000Z",0,3,58
"2025-05-01T21:29:00.000Z",0,2,58
"2025-05-01T21:29:20.000Z",0,2,58
"2025-05-01T21:29:40.000Z",0,2,58
"2025-05-01T21:30:00.000Z",0,2,58
"2025-05-01T21:30:20.000Z",0,3,58
"2025-05-01T21:30:40.000Z",0,2,58
"2025-05-01T21:31:00.000Z",0,2,58
"2025-05-01T21:31:20.000Z",0,2,58
"2025-05-01T21:31:40.000Z",0,2,58
"2025-05-01T21:32:00.000Z",0,3,58
"2025-05-01T21:32:20.000Z",0,2,58
"2025-05-01T21:32:40.000Z",0,2,58
"2025-05-01T21:33:00.000Z",0,2,58
"2025-05-01T21:33:20.000Z",0,2,58
