"Time","Usage in MHz for 0","Usage in MHz for sp25-cs525-0720.cs.illinois.edu","Usage in MHz for 1"
"2025-05-01T22:04:00.000Z",449,1103,647
"2025-05-01T22:04:20.000Z",433,1032,591
"2025-05-01T22:04:40.000Z",804,990,179
"2025-05-01T22:05:00.000Z",765,836,65
"2025-05-01T22:05:20.000Z",756,962,200
"2025-05-01T22:05:40.000Z",926,1027,95
"2025-05-01T22:06:00.000Z",545,988,435
"2025-05-01T22:06:20.000Z",437,1023,579
"2025-05-01T22:06:40.000Z",378,1055,673
"2025-05-01T22:07:00.000Z",476,1021,537
"2025-05-01T22:07:20.000Z",558,954,389
"2025-05-01T22:07:40.000Z",631,1118,480
"2025-05-01T22:08:00.000Z",299,970,664
"2025-05-01T22:08:20.000Z",262,1080,811
"2025-05-01T22:08:40.000Z",854,1010,149
"2025-05-01T22:09:00.000Z",689,972,278
"2025-05-01T22:09:20.000Z",633,1003,362
"2025-05-01T22:09:40.000Z",489,1084,587
"2025-05-01T22:10:00.000Z",403,961,551
"2025-05-01T22:10:20.000Z",436,1059,617
"2025-05-01T22:10:40.000Z",339,1015,669
"2025-05-01T22:11:00.000Z",241,1048,798
"2025-05-01T22:11:20.000Z",478,996,511
"2025-05-01T22:11:40.000Z",73,1020,941
"2025-05-01T22:12:00.000Z",567,1131,558
"2025-05-01T22:12:20.000Z",708,947,232
"2025-05-01T22:12:40.000Z",640,1071,425
"2025-05-01T22:13:00.000Z",850,1059,203
"2025-05-01T22:13:20.000Z",611,919,300
"2025-05-01T22:13:40.000Z",568,934,359
"2025-05-01T22:14:00.000Z",533,1096,557
"2025-05-01T22:14:20.000Z",1229,2181,943
"2025-05-01T22:14:40.000Z",462,1007,537
"2025-05-01T22:15:00.000Z",714,978,258
"2025-05-01T22:15:20.000Z",267,1060,787
"2025-05-01T22:15:40.000Z",654,1098,436
"2025-05-01T22:16:00.000Z",295,986,687
"2025-05-01T22:16:20.000Z",648,1148,492
"2025-05-01T22:16:40.000Z",913,1051,131
"2025-05-01T22:17:00.000Z",800,1088,278
"2025-05-01T22:17:20.000Z",888,1059,164
"2025-05-01T22:17:40.000Z",638,985,341
"2025-05-01T22:18:00.000Z",248,992,738
"2025-05-01T22:18:20.000Z",553,904,347
"2025-05-01T22:18:40.000Z",883,974,84
"2025-05-01T22:19:00.000Z",782,1151,360
"2025-05-01T22:19:20.000Z",559,1216,650
"2025-05-01T22:19:40.000Z",737,1064,321
"2025-05-01T22:20:00.000Z",718,983,256
"2025-05-01T22:20:20.000Z",141,1023,875
"2025-05-01T22:20:40.000Z",662,1132,464
"2025-05-01T22:21:00.000Z",834,1137,296
"2025-05-01T22:21:20.000Z",1005,1049,38
"2025-05-01T22:21:40.000Z",393,1152,754
"2025-05-01T22:22:00.000Z",607,1074,459
"2025-05-01T22:22:20.000Z",348,1104,750
"2025-05-01T22:22:40.000Z",196,1105,902
"2025-05-01T22:23:00.000Z",635,1049,407
"2025-05-01T22:23:20.000Z",126,1078,947
"2025-05-01T22:23:40.000Z",355,1103,742
"2025-05-01T22:24:00.000Z",913,962,42
"2025-05-01T22:24:20.000Z",329,1067,732
"2025-05-01T22:24:40.000Z",197,1118,915
"2025-05-01T22:25:00.000Z",940,1130,184
"2025-05-01T22:25:20.000Z",688,1006,310
"2025-05-01T22:25:40.000Z",676,1104,421
"2025-05-01T22:26:00.000Z",292,1142,844
"2025-05-01T22:26:20.000Z",685,923,233
"2025-05-01T22:26:40.000Z",356,960,598
"2025-05-01T22:27:00.000Z",326,1057,725
"2025-05-01T22:27:20.000Z",630,1046,409
"2025-05-01T22:27:40.000Z",756,1254,490
"2025-05-01T22:28:00.000Z",788,1047,253
"2025-05-01T22:28:20.000Z",997,1107,101
"2025-05-01T22:28:40.000Z",1145,1243,90
"2025-05-01T22:29:00.000Z",1142,1204,57
"2025-05-01T22:29:20.000Z",501,1024,516
"2025-05-01T22:29:40.000Z",433,1104,664
"2025-05-01T22:30:00.000Z",717,1058,332
"2025-05-01T22:30:20.000Z",321,1153,825
"2025-05-01T22:30:40.000Z",1292,2193,893
"2025-05-01T22:31:00.000Z",138,1269,1125
"2025-05-01T22:31:20.000Z",606,1085,473
"2025-05-01T22:31:40.000Z",147,1121,966
"2025-05-01T22:32:00.000Z",785,1084,294
"2025-05-01T22:32:20.000Z",737,1179,436
"2025-05-01T22:32:40.000Z",1042,1212,163
"2025-05-01T22:33:00.000Z",791,1167,370
"2025-05-01T22:33:20.000Z",721,1003,274
"2025-05-01T22:33:40.000Z",349,1058,702
"2025-05-01T22:34:00.000Z",696,1039,338
"2025-05-01T22:34:20.000Z",474,1139,659
"2025-05-01T22:34:40.000Z",365,1203,830
"2025-05-01T22:35:00.000Z",400,1147,740
"2025-05-01T22:35:20.000Z",36,1138,1095
"2025-05-01T22:35:40.000Z",204,1045,834
"2025-05-01T22:36:00.000Z",348,1111,755
"2025-05-01T22:36:20.000Z",649,1127,472
"2025-05-01T22:36:40.000Z",941,1188,241
"2025-05-01T22:37:00.000Z",813,1189,369
"2025-05-01T22:37:20.000Z",290,1043,746
"2025-05-01T22:37:40.000Z",1133,1198,60
"2025-05-01T22:38:00.000Z",931,1159,221
"2025-05-01T22:38:20.000Z",941,1116,169
"2025-05-01T22:38:40.000Z",314,1076,756
"2025-05-01T22:39:00.000Z",945,1171,219
"2025-05-01T22:39:20.000Z",853,1142,282
"2025-05-01T22:39:40.000Z",248,1124,869
"2025-05-01T22:40:00.000Z",54,1095,1036
"2025-05-01T22:40:20.000Z",890,1070,173
"2025-05-01T22:40:40.000Z",368,1171,798
"2025-05-01T22:41:00.000Z",903,1225,314
"2025-05-01T22:41:20.000Z",812,1142,323
"2025-05-01T22:41:40.000Z",575,1113,531
"2025-05-01T22:42:00.000Z",679,1156,473
"2025-05-01T22:42:20.000Z",1102,1149,40
"2025-05-01T22:42:40.000Z",1046,1195,142
"2025-05-01T22:43:00.000Z",649,1241,584
"2025-05-01T22:43:20.000Z",705,1122,410
"2025-05-01T22:43:40.000Z",446,1104,650
"2025-05-01T22:44:00.000Z",580,1221,636
"2025-05-01T22:44:20.000Z",673,1184,503
"2025-05-01T22:44:40.000Z",247,1075,821
"2025-05-01T22:45:00.000Z",398,1359,955
"2025-05-01T22:45:20.000Z",424,1309,879
"2025-05-01T22:45:40.000Z",408,1401,986
"2025-05-01T22:46:00.000Z",1071,2039,960
"2025-05-01T22:46:20.000Z",149,1050,894
"2025-05-01T22:46:40.000Z",276,1160,878
"2025-05-01T22:47:00.000Z",186,1204,1010
"2025-05-01T22:47:20.000Z",383,1212,822
"2025-05-01T22:47:40.000Z",944,1221,272
"2025-05-01T22:48:00.000Z",672,1111,433
"2025-05-01T22:48:20.000Z",223,1227,997
"2025-05-01T22:48:40.000Z",326,1128,796
"2025-05-01T22:49:00.000Z",744,1246,495
"2025-05-01T22:49:20.000Z",50,1152,1096
"2025-05-01T22:49:40.000Z",200,1073,865
"2025-05-01T22:50:00.000Z",159,1200,1035
"2025-05-01T22:50:20.000Z",401,1170,762
"2025-05-01T22:50:40.000Z",35,1176,1134
"2025-05-01T22:51:00.000Z",38,1274,1231
"2025-05-01T22:51:20.000Z",87,1174,1078
"2025-05-01T22:51:40.000Z",658,1148,483
"2025-05-01T22:52:00.000Z",1122,1215,87
"2025-05-01T22:52:20.000Z",370,1138,760
"2025-05-01T22:52:40.000Z",913,1176,258
"2025-05-01T22:53:00.000Z",930,1125,191
"2025-05-01T22:53:20.000Z",693,1179,480
"2025-05-01T22:53:40.000Z",183,1156,966
"2025-05-01T22:54:00.000Z",408,1142,727
"2025-05-01T22:54:20.000Z",1067,1164,89
"2025-05-01T22:54:40.000Z",546,1168,616
"2025-05-01T22:55:00.000Z",312,1281,962
"2025-05-01T22:55:20.000Z",1560,3291,1720
"2025-05-01T22:55:40.000Z",762,1665,896
"2025-05-01T22:56:00.000Z",594,1378,778
"2025-05-01T22:56:20.000Z",798,1085,283
"2025-05-01T22:56:40.000Z",585,1258,666
"2025-05-01T22:57:00.000Z",748,1215,461
"2025-05-01T22:57:20.000Z",236,1194,951
"2025-05-01T22:57:40.000Z",874,1228,347
"2025-05-01T22:58:00.000Z",768,1290,515
"2025-05-01T22:58:20.000Z",695,1122,419
"2025-05-01T22:58:40.000Z",953,1215,255
"2025-05-01T22:59:00.000Z",1004,1175,166
"2025-05-01T22:59:20.000Z",1009,1228,213
"2025-05-01T22:59:40.000Z",377,1204,820
"2025-05-01T23:00:00.000Z",669,1258,584
"2025-05-01T23:00:20.000Z",484,1189,698
"2025-05-01T23:00:40.000Z",739,1343,597
"2025-05-01T23:01:00.000Z",516,1177,655
"2025-05-01T23:01:20.000Z",170,1240,1063
"2025-05-01T23:01:40.000Z",369,1193,818
"2025-05-01T23:02:00.000Z",938,2320,1373
"2025-05-01T23:02:20.000Z",519,1531,979
"2025-05-01T23:02:40.000Z",665,1283,610
"2025-05-01T23:03:00.000Z",429,1308,871
"2025-05-01T23:03:20.000Z",139,1295,1148
"2025-05-01T23:03:40.000Z",290,1312,1012
