"Time","Usage in MHz for 0","Usage in MHz for sp25-cs525-0704.cs.illinois.edu","Usage in MHz for 1"
"2025-05-01T21:30:00.000Z",37,87,45
"2025-05-01T21:30:20.000Z",46,86,34
"2025-05-01T21:30:40.000Z",35,73,32
"2025-05-01T21:31:00.000Z",42,85,35
"2025-05-01T21:31:20.000Z",31,79,42
"2025-05-01T21:31:40.000Z",32,88,47
"2025-05-01T21:32:00.000Z",45,82,32
"2025-05-01T21:32:20.000Z",34,74,33
"2025-05-01T21:32:40.000Z",36,85,41
"2025-05-01T21:33:00.000Z",38,83,37
"2025-05-01T21:33:20.000Z",49,89,28
"2025-05-01T21:33:40.000Z",45,86,34
"2025-05-01T21:34:00.000Z",40,89,42
"2025-05-01T21:34:20.000Z",31,92,53
"2025-05-01T21:34:40.000Z",65,101,31
"2025-05-01T21:35:00.000Z",37,105,60
"2025-05-01T21:35:20.000Z",38,104,60
"2025-05-01T21:35:40.000Z",56,100,37
"2025-05-01T21:36:00.000Z",43,104,55
"2025-05-01T21:36:20.000Z",41,110,63
"2025-05-01T21:36:40.000Z",52,117,59
"2025-05-01T21:37:00.000Z",35,77,36
"2025-05-01T21:37:20.000Z",1118,1887,757
"2025-05-01T21:37:40.000Z",79,176,90
"2025-05-01T21:38:00.000Z",32,88,48
"2025-05-01T21:38:20.000Z",40,86,41
"2025-05-01T21:38:40.000Z",40,89,41
"2025-05-01T21:39:00.000Z",49,229,171
"2025-05-01T21:39:20.000Z",33,107,66
"2025-05-01T21:39:40.000Z",43,101,52
"2025-05-01T21:40:00.000Z",45,112,59
"2025-05-01T21:40:20.000Z",44,106,55
"2025-05-01T21:40:40.000Z",62,109,40
"2025-05-01T21:41:00.000Z",42,89,39
"2025-05-01T21:41:20.000Z",33,83,44
"2025-05-01T21:41:40.000Z",40,96,48
"2025-05-01T21:42:00.000Z",32,86,46
"2025-05-01T21:42:20.000Z",42,89,40
"2025-05-01T21:42:40.000Z",34,86,47
"2025-05-01T21:43:00.000Z",33,98,59
"2025-05-01T21:43:20.000Z",48,97,44
"2025-05-01T21:43:40.000Z",46,99,49
"2025-05-01T21:44:00.000Z",61,107,41
"2025-05-01T21:44:20.000Z",66,108,35
"2025-05-01T21:44:40.000Z",39,108,65
"2025-05-01T21:45:00.000Z",73,138,59
"2025-05-01T21:45:20.000Z",72,154,78
"2025-05-01T21:45:40.000Z",103,165,56
"2025-05-01T21:46:00.000Z",79,156,70
"2025-05-01T21:46:20.000Z",77,164,80
"2025-05-01T21:46:40.000Z",130,180,43
"2025-05-01T21:47:00.000Z",93,169,71
"2025-05-01T21:47:20.000Z",75,181,97
"2025-05-01T21:47:40.000Z",88,167,72
"2025-05-01T21:48:00.000Z",78,149,64
"2025-05-01T21:48:20.000Z",76,192,109
"2025-05-01T21:48:40.000Z",96,153,50
"2025-05-01T21:49:00.000Z",127,182,47
"2025-05-01T21:49:20.000Z",97,202,98
"2025-05-01T21:49:40.000Z",130,207,69
"2025-05-01T21:50:00.000Z",125,213,80
"2025-05-01T21:50:20.000Z",134,245,103
"2025-05-01T21:50:40.000Z",89,242,146
"2025-05-01T21:51:00.000Z",170,256,79
"2025-05-01T21:51:20.000Z",90,259,162
"2025-05-01T21:51:40.000Z",200,257,52
"2025-05-01T21:52:00.000Z",155,280,118
"2025-05-01T21:52:20.000Z",150,312,156
"2025-05-01T21:52:40.000Z",106,167,56
"2025-05-01T21:53:00.000Z",102,175,67
"2025-05-01T21:53:20.000Z",87,183,90
"2025-05-01T21:53:40.000Z",73,201,120
"2025-05-01T21:54:00.000Z",90,210,114
"2025-05-01T21:54:20.000Z",93,228,129
"2025-05-01T21:54:40.000Z",143,223,72
"2025-05-01T21:55:00.000Z",1146,2108,952
"2025-05-01T21:55:20.000Z",140,276,131
"2025-05-01T21:55:40.000Z",164,238,70
"2025-05-01T21:56:00.000Z",156,287,125
"2025-05-01T21:56:20.000Z",124,272,142
"2025-05-01T21:56:40.000Z",148,252,97
"2025-05-01T21:57:00.000Z",102,274,166
"2025-05-01T21:57:20.000Z",102,184,74
"2025-05-01T21:57:40.000Z",58,190,126
"2025-05-01T21:58:00.000Z",63,190,120
"2025-05-01T21:58:20.000Z",105,205,92
"2025-05-01T21:58:40.000Z",118,219,93
"2025-05-01T21:59:00.000Z",79,227,142
"2025-05-01T21:59:20.000Z",152,228,69
