"Time","Usage for sp25-cs525-0706.cs.illinois.edu","Energy usage for sp25-cs525-0706.cs.illinois.edu","Static Power for sp25-cs525-0706.cs.illinois.edu"
"2025-05-01T21:59:40.000Z",0,3,59
"2025-05-01T22:00:00.000Z",0,3,59
"2025-05-01T22:00:20.000Z",0,2,59
"2025-05-01T22:00:40.000Z",0,3,59
"2025-05-01T22:01:00.000Z",0,3,59
"2025-05-01T22:01:20.000Z",0,2,59
"2025-05-01T22:01:40.000Z",0,3,59
"2025-05-01T22:02:00.000Z",0,3,59
"2025-05-01T22:02:20.000Z",0,3,59
"2025-05-01T22:02:40.000Z",0,2,59
"2025-05-01T22:03:00.000Z",0,3,59
"2025-05-01T22:03:20.000Z",0,3,59
"2025-05-01T22:03:40.000Z",0,3,59
"2025-05-01T22:04:00.000Z",0,2,59
"2025-05-01T22:04:20.000Z",0,3,59
"2025-05-01T22:04:40.000Z",0,3,59
"2025-05-01T22:05:00.000Z",0,2,59
"2025-05-01T22:05:20.000Z",0,3,59
"2025-05-01T22:05:40.000Z",0,3,59
"2025-05-01T22:06:00.000Z",0,3,59
"2025-05-01T22:06:20.000Z",0,2,59
"2025-05-01T22:06:40.000Z",0,3,59
"2025-05-01T22:07:00.000Z",0,3,59
"2025-05-01T22:07:20.000Z",0,2,59
"2025-05-01T22:07:40.000Z",0,3,59
"2025-05-01T22:08:00.000Z",0,3,59
"2025-05-01T22:08:20.000Z",0,3,59
"2025-05-01T22:08:40.000Z",0,2,59
"2025-05-01T22:09:00.000Z",0,3,59
"2025-05-01T22:09:20.000Z",0,3,59
"2025-05-01T22:09:40.000Z",0,2,59
"2025-05-01T22:10:00.000Z",0,3,59
"2025-05-01T22:10:20.000Z",0,3,59
"2025-05-01T22:10:40.000Z",0,3,59
"2025-05-01T22:11:00.000Z",0,2,59
"2025-05-01T22:11:20.000Z",0,3,59
"2025-05-01T22:11:40.000Z",0,3,59
"2025-05-01T22:12:00.000Z",0,3,59
"2025-05-01T22:12:20.000Z",0,2,59
"2025-05-01T22:12:40.000Z",0,3,59
"2025-05-01T22:13:00.000Z",0,3,59
"2025-05-01T22:13:20.000Z",0,2,59
