"Time","Usage in MHz for 0","Usage in MHz for sp25-cs525-0702.cs.illinois.edu","Usage in MHz for 1"
"2025-05-01T22:02:20.000Z",21,38,11
"2025-05-01T22:02:40.000Z",22,40,12
"2025-05-01T22:03:00.000Z",20,38,12
"2025-05-01T22:03:20.000Z",19,38,11
"2025-05-01T22:03:40.000Z",22,40,12
"2025-05-01T22:04:00.000Z",19,38,12
"2025-05-01T22:04:20.000Z",20,39,12
"2025-05-01T22:04:40.000Z",19,37,12
"2025-05-01T22:05:00.000Z",24,42,14
"2025-05-01T22:05:20.000Z",22,41,11
"2025-05-01T22:05:40.000Z",24,47,15
"2025-05-01T22:06:00.000Z",21,39,12
"2025-05-01T22:06:20.000Z",21,39,12
"2025-05-01T22:06:40.000Z",20,36,11
"2025-05-01T22:07:00.000Z",20,38,11
"2025-05-01T22:07:20.000Z",20,38,11
"2025-05-01T22:07:40.000Z",22,43,13
"2025-05-01T22:08:00.000Z",22,41,12
"2025-05-01T22:08:20.000Z",12,37,19
"2025-05-01T22:08:40.000Z",8,39,26
"2025-05-01T22:09:00.000Z",10,39,22
"2025-05-01T22:09:20.000Z",18,38,14
"2025-05-01T22:09:40.000Z",21,42,13
"2025-05-01T22:10:00.000Z",18,37,12
"2025-05-01T22:10:20.000Z",19,40,14
"2025-05-01T22:10:40.000Z",23,45,17
"2025-05-01T22:11:00.000Z",18,40,14
"2025-05-01T22:11:20.000Z",19,40,13
"2025-05-01T22:11:40.000Z",18,37,14
"2025-05-01T22:12:00.000Z",31,99,61
"2025-05-01T22:12:20.000Z",958,1980,1012
"2025-05-01T22:12:40.000Z",10,42,25
"2025-05-01T22:13:00.000Z",19,43,16
"2025-05-01T22:13:20.000Z",18,41,18
"2025-05-01T22:13:40.000Z",12,45,25
"2025-05-01T22:14:00.000Z",11,40,23
"2025-05-01T22:14:20.000Z",135,172,29
"2025-05-01T22:14:40.000Z",9,38,24
"2025-05-01T22:15:00.000Z",20,45,16
"2025-05-01T22:15:20.000Z",22,43,14
