"Time","Usage in MHz for 0","Usage in MHz for sp25-cs525-0706.cs.illinois.edu","Usage in MHz for 1"
"2025-05-01T20:14:20.000Z",162,265,97
"2025-05-01T20:14:40.000Z",233,318,79
"2025-05-01T20:15:00.000Z",199,305,101
"2025-05-01T20:15:20.000Z",158,315,149
"2025-05-01T20:15:40.000Z",128,311,178
"2025-05-01T20:16:00.000Z",137,281,140
"2025-05-01T20:16:20.000Z",158,300,134
"2025-05-01T20:16:40.000Z",376,629,249
"2025-05-01T20:17:00.000Z",146,263,110
"2025-05-01T20:17:20.000Z",135,318,178
"2025-05-01T20:17:40.000Z",146,349,197
"2025-05-01T20:18:00.000Z",195,386,184
"2025-05-01T20:18:20.000Z",219,402,180
"2025-05-01T20:18:40.000Z",103,456,346
"2025-05-01T20:19:00.000Z",177,441,258
"2025-05-01T20:19:20.000Z",332,426,88
"2025-05-01T20:19:40.000Z",253,463,205
"2025-05-01T20:20:00.000Z",349,462,107
"2025-05-01T20:20:20.000Z",243,501,252
"2025-05-01T20:20:40.000Z",180,441,256
"2025-05-01T20:21:00.000Z",132,259,121
"2025-05-01T20:21:20.000Z",127,296,163
"2025-05-01T20:21:40.000Z",101,350,243
"2025-05-01T20:22:00.000Z",171,373,198
"2025-05-01T20:22:20.000Z",272,414,135
"2025-05-01T20:22:40.000Z",2004,2588,570
"2025-05-01T20:23:00.000Z",1150,3175,2015
"2025-05-01T20:23:20.000Z",1136,2079,936
"2025-05-01T20:23:40.000Z",176,448,265
"2025-05-01T20:24:00.000Z",187,519,325
"2025-05-01T20:24:20.000Z",290,449,153
"2025-05-01T20:24:40.000Z",213,490,275
"2025-05-01T20:25:00.000Z",191,324,126
"2025-05-01T20:25:20.000Z",140,279,133
"2025-05-01T20:25:40.000Z",185,319,130
"2025-05-01T20:26:00.000Z",171,348,172
"2025-05-01T20:26:20.000Z",247,569,312
"2025-05-01T20:26:40.000Z",251,573,275
"2025-05-01T20:27:00.000Z",192,460,240
"2025-05-01T20:27:20.000Z",251,439,173
"2025-05-01T20:27:40.000Z",340,536,188
"2025-05-01T20:28:00.000Z",319,487,163
"2025-05-01T20:28:20.000Z",1542,2789,1233
"2025-05-01T20:28:40.000Z",1494,4057,2553
"2025-05-01T20:29:00.000Z",1338,3940,2595
"2025-05-01T20:29:20.000Z",2758,5554,2778
"2025-05-01T20:29:40.000Z",2638,5271,2615
"2025-05-01T20:30:00.000Z",2271,4052,1774
"2025-05-01T20:30:20.000Z",1824,3998,2166
"2025-05-01T20:30:40.000Z",2406,4795,2382
"2025-05-01T20:31:00.000Z",1753,3481,1719
"2025-05-01T20:31:20.000Z",265,712,441
"2025-05-01T20:31:40.000Z",249,791,537
