"Time","Usage in MHz for 0","Usage in MHz for sp25-cs525-0702.cs.illinois.edu","Usage in MHz for 1"
"2025-05-02T00:06:40.000Z",703,2016,1307
"2025-05-02T00:07:00.000Z",1834,1873,30
"2025-05-02T00:07:20.000Z",1624,1816,185
"2025-05-02T00:07:40.000Z",1595,2000,398
"2025-05-02T00:08:00.000Z",1748,1973,217
"2025-05-02T00:08:20.000Z",1434,1881,439
"2025-05-02T00:08:40.000Z",406,2012,1599
"2025-05-02T00:09:00.000Z",26,2025,1992
"2025-05-02T00:09:20.000Z",25,2093,2062
"2025-05-02T00:09:40.000Z",27,1994,1959
"2025-05-02T00:10:00.000Z",516,1887,1366
"2025-05-02T00:10:20.000Z",1405,1966,553
"2025-05-02T00:10:40.000Z",808,1841,1025
"2025-05-02T00:11:00.000Z",1170,1935,756
"2025-05-02T00:11:20.000Z",29,1956,1919
"2025-05-02T00:11:40.000Z",1172,2448,1266
"2025-05-02T00:12:00.000Z",1627,3350,1714
"2025-05-02T00:12:20.000Z",1513,2001,483
"2025-05-02T00:12:40.000Z",2027,2203,169
"2025-05-02T00:13:00.000Z",1928,1965,32
"2025-05-02T00:13:20.000Z",946,1945,994
"2025-05-02T00:13:40.000Z",202,2105,1896
"2025-05-02T00:14:00.000Z",1985,2027,34
"2025-05-02T00:14:20.000Z",2008,2047,34
"2025-05-02T00:14:40.000Z",1804,1840,31
"2025-05-02T00:15:00.000Z",773,2139,1359
"2025-05-02T00:15:20.000Z",32,1942,1904
"2025-05-02T00:15:40.000Z",1376,1967,586
"2025-05-02T00:16:00.000Z",1576,2139,558
"2025-05-02T00:16:20.000Z",252,1968,1710
"2025-05-02T00:16:40.000Z",162,1940,1774
"2025-05-02T00:17:00.000Z",1198,2141,936
"2025-05-02T00:17:20.000Z",2004,2048,38
"2025-05-02T00:17:40.000Z",1778,1895,111
"2025-05-02T00:18:00.000Z",1993,2037,36
"2025-05-02T00:18:20.000Z",1017,1902,878
"2025-05-02T00:18:40.000Z",1995,2033,32
"2025-05-02T00:19:00.000Z",1904,1943,34
"2025-05-02T00:19:20.000Z",1907,1946,33
"2025-05-02T00:19:40.000Z",1948,1989,33
"2025-05-02T00:20:00.000Z",1055,1969,908
"2025-05-02T00:20:20.000Z",28,2024,1991
"2025-05-02T00:20:40.000Z",467,1957,1486
"2025-05-02T00:21:00.000Z",1498,1943,440
"2025-05-02T00:21:20.000Z",2020,2054,29
"2025-05-02T00:21:40.000Z",2133,2169,30
"2025-05-02T00:22:00.000Z",746,1843,1090
"2025-05-02T00:22:20.000Z",1144,2060,909
"2025-05-02T00:22:40.000Z",1949,1984,28
"2025-05-02T00:23:00.000Z",879,2006,1119
"2025-05-02T00:23:20.000Z",649,1976,1320
"2025-05-02T00:23:40.000Z",287,1975,1680
"2025-05-02T00:24:00.000Z",1975,2012,30
"2025-05-02T00:24:20.000Z",1193,1953,754
"2025-05-02T00:24:40.000Z",1601,2008,400
"2025-05-02T00:25:00.000Z",1582,2014,428
"2025-05-02T00:25:20.000Z",411,1974,1556
"2025-05-02T00:25:40.000Z",1380,2011,623
"2025-05-02T00:26:00.000Z",27,1925,1890
"2025-05-02T00:26:20.000Z",26,1992,1960
"2025-05-02T00:26:40.000Z",30,2248,2209
"2025-05-02T00:27:00.000Z",28,2075,2041
"2025-05-02T00:27:20.000Z",396,2071,1667
"2025-05-02T00:27:40.000Z",28,2051,2014
"2025-05-02T00:28:00.000Z",974,1930,951
"2025-05-02T00:28:20.000Z",2109,2144,29
"2025-05-02T00:28:40.000Z",1838,2015,170
"2025-05-02T00:29:00.000Z",2143,2180,31
"2025-05-02T00:29:20.000Z",1755,2030,268
"2025-05-02T00:29:40.000Z",2165,4056,1882
"2025-05-02T00:30:00.000Z",1892,1998,102
"2025-05-02T00:30:20.000Z",566,2084,1512
"2025-05-02T00:30:40.000Z",504,1867,1356
"2025-05-02T00:31:00.000Z",28,2027,1992
