"Time","Usage in MHz for 0","Usage in MHz for sp25-cs525-0702.cs.illinois.edu","Usage in MHz for 1"
"2025-05-01T23:31:20.000Z",1017,1590,567
"2025-05-01T23:31:40.000Z",1382,1616,227
"2025-05-01T23:32:00.000Z",1475,1565,82
"2025-05-01T23:32:20.000Z",332,1566,1227
"2025-05-01T23:32:40.000Z",693,1721,1023
"2025-05-01T23:33:00.000Z",579,1571,984
"2025-05-01T23:33:20.000Z",1148,1674,518
"2025-05-01T23:33:40.000Z",1602,1633,26
"2025-05-01T23:34:00.000Z",1684,1764,72
"2025-05-01T23:34:20.000Z",1706,1737,25
"2025-05-01T23:34:40.000Z",1752,1787,29
"2025-05-01T23:35:00.000Z",1750,1785,27
"2025-05-01T23:35:20.000Z",795,1612,812
"2025-05-01T23:35:40.000Z",208,1633,1418
"2025-05-01T23:36:00.000Z",1656,1689,26
"2025-05-01T23:36:20.000Z",1565,1598,26
"2025-05-01T23:36:40.000Z",1641,1676,29
"2025-05-01T23:37:00.000Z",1054,1671,611
"2025-05-01T23:37:20.000Z",219,1751,1525
"2025-05-01T23:37:40.000Z",710,1678,962
"2025-05-01T23:38:00.000Z",1279,1780,494
"2025-05-01T23:38:20.000Z",1248,1724,469
"2025-05-01T23:38:40.000Z",1701,1735,27
"2025-05-01T23:39:00.000Z",1793,1826,28
"2025-05-01T23:39:20.000Z",1485,2340,844
"2025-05-01T23:39:40.000Z",1819,2961,1135
"2025-05-01T23:40:00.000Z",1181,1878,694
"2025-05-01T23:40:20.000Z",1536,1799,257
"2025-05-01T23:40:40.000Z",43,1808,1761
"2025-05-01T23:41:00.000Z",61,1639,1575
"2025-05-01T23:41:20.000Z",1738,2061,316
"2025-05-01T23:41:40.000Z",1245,1780,527
"2025-05-01T23:42:00.000Z",1694,1728,28
"2025-05-01T23:42:20.000Z",1352,1796,438
"2025-05-01T23:42:40.000Z",363,1654,1284
"2025-05-01T23:43:00.000Z",53,1724,1666
"2025-05-01T23:43:20.000Z",159,1756,1590
"2025-05-01T23:43:40.000Z",491,1792,1294
"2025-05-01T23:44:00.000Z",760,1748,981
"2025-05-01T23:44:20.000Z",1362,1739,370
"2025-05-01T23:44:40.000Z",140,1749,1601
"2025-05-01T23:45:00.000Z",502,1851,1344
"2025-05-01T23:45:20.000Z",1507,1810,294
"2025-05-01T23:45:40.000Z",1277,1933,650
"2025-05-01T23:46:00.000Z",979,1864,878
"2025-05-01T23:46:20.000Z",1026,1653,620
"2025-05-01T23:46:40.000Z",1879,1913,28
"2025-05-01T23:47:00.000Z",1651,1684,27
"2025-05-01T23:47:20.000Z",1383,1880,488
"2025-05-01T23:47:40.000Z",1367,1885,513
"2025-05-01T23:48:00.000Z",402,1714,1307
"2025-05-01T23:48:20.000Z",581,1823,1235
"2025-05-01T23:48:40.000Z",1243,1794,545
"2025-05-01T23:49:00.000Z",24,1755,1725
"2025-05-01T23:49:20.000Z",25,1941,1910
"2025-05-01T23:49:40.000Z",824,1820,991
"2025-05-01T23:50:00.000Z",926,1927,997
"2025-05-01T23:50:20.000Z",426,1736,1304
"2025-05-01T23:50:40.000Z",581,1761,1177
"2025-05-01T23:51:00.000Z",1350,1855,502
"2025-05-01T23:51:20.000Z",106,1878,1766
"2025-05-01T23:51:40.000Z",684,1906,1219
"2025-05-01T23:52:00.000Z",945,1703,751
"2025-05-01T23:52:20.000Z",26,2024,1992
"2025-05-01T23:52:40.000Z",645,1858,1207
"2025-05-01T23:53:00.000Z",27,1961,1927
"2025-05-01T23:53:20.000Z",643,1880,1231
"2025-05-01T23:53:40.000Z",1616,1926,300
"2025-05-01T23:54:00.000Z",1816,1849,26
"2025-05-01T23:54:20.000Z",1660,1749,83
"2025-05-01T23:54:40.000Z",899,1968,1062
"2025-05-01T23:55:00.000Z",1455,1781,321
"2025-05-01T23:55:20.000Z",27,1937,1903
"2025-05-01T23:55:40.000Z",902,1957,1048
"2025-05-01T23:56:00.000Z",1784,1819,29
"2025-05-01T23:56:20.000Z",1801,1874,65
"2025-05-01T23:56:40.000Z",1823,3565,1735
"2025-05-01T23:57:00.000Z",1810,1845,28
"2025-05-01T23:57:20.000Z",1375,1912,531
"2025-05-01T23:57:40.000Z",209,1801,1587
"2025-05-01T23:58:00.000Z",780,1951,1163
"2025-05-01T23:58:20.000Z",1680,1743,56
"2025-05-01T23:58:40.000Z",1964,2122,153
"2025-05-01T23:59:00.000Z",503,1821,1313
"2025-05-01T23:59:20.000Z",1732,1871,136
"2025-05-01T23:59:40.000Z",110,2054,1939
"2025-05-02T00:00:00.000Z",424,1910,1479
"2025-05-02T00:00:20.000Z",1958,1990,27
"2025-05-02T00:00:40.000Z",1844,1879,28
"2025-05-02T00:01:00.000Z",1507,1909,396
"2025-05-02T00:01:20.000Z",27,1782,1748
"2025-05-02T00:01:40.000Z",1275,1825,543
"2025-05-02T00:02:00.000Z",1707,2285,571
"2025-05-02T00:02:20.000Z",1972,2011,32
"2025-05-02T00:02:40.000Z",375,1831,1452
"2025-05-02T00:03:00.000Z",1116,1807,687
"2025-05-02T00:03:20.000Z",1366,2006,635
"2025-05-02T00:03:40.000Z",669,2054,1381
"2025-05-02T00:04:00.000Z",1443,1962,514
"2025-05-02T00:04:20.000Z",530,1750,1214
"2025-05-02T00:04:40.000Z",25,1868,1837
"2025-05-02T00:05:00.000Z",27,2098,2065
"2025-05-02T00:05:20.000Z",804,1890,1079
"2025-05-02T00:05:40.000Z",1492,1940,442
"2025-05-02T00:06:00.000Z",240,1871,1624
"2025-05-02T00:06:20.000Z",28,1946,1909
